cluster,mal,scheduler,policy,bar_order,bar_label,seed_count,wait_mean_h_mean,wait_mean_h_std,runtime_mean_h_mean,runtime_mean_h_std,turnaround_mean_h_mean,turnaround_mean_h_std
cori_haswell,100,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.0005762911147095287,3.199605843610319e-05,0.3475841260827332,0.003419989418985741,0.34816041482147564,0.0033922623609593523
cori_knl,0,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.4325625179719914,4.260883151551008e-06,1.4183676917957524,6.040262923241777e-10,1.850929880127934,4.261499044430611e-06
cori_knl,0,min_steal_agreement,F30,2,MSA F30 (30% off),3,0.49652508532788725,0.06706238978243063,1.4183676913938943,5.774487125235149e-10,1.9148923770246955,0.06706239649133643
cori_knl,0,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.5446429936470685,0.1316977961929217,1.4183676906125033,1.341758062483091e-09,1.9630102296552592,0.13169773291028705
cori_knl,25,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.41088203461548317,0.07703815204305245,1.7857382485886701,0.020770946298279008,2.1966201637121583,0.08006777403307329
cori_knl,25,min_steal_agreement,F30,2,MSA F30 (30% off),3,0.19395391764300515,0.11006653116933715,1.3905340917462417,0.02065154478190498,1.5844879196031183,0.09095726135407971
cori_knl,25,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.17881268033950137,0.027370448643471868,1.512940715406874,0.04621151179785314,1.6917533702513858,0.07293907899826182
cori_knl,50,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.2027681738827753,0.1190751770766478,1.9449045198586399,0.11748517192648944,2.1476727300870944,0.2365374148799278
cori_knl,50,min_steal_agreement,F30,2,MSA F30 (30% off),3,0.09756711405950713,0.023103221835262724,1.3597564582901134,0.06917488444412158,1.4573235420819373,0.0472579719070223
cori_knl,50,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.09591439642672392,0.046328573629402806,1.5879297306582862,0.18965244033170683,1.6838441392637173,0.2279924180545901
cori_knl,75,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.07585698968906722,0.056894286389258246,1.5039496581681024,0.1123818964200441,1.5798066228229941,0.14176561221334316
cori_knl,75,min_steal_agreement,F30,2,MSA F30 (30% off),3,0.08970395413082094,0.04126102977522104,1.3312818882824549,0.24052873028745939,1.420985819588526,0.2817545863304679
cori_knl,75,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.0433239210712629,0.030926411567380786,1.2930523354812935,0.03902689684978425,1.3363762635895562,0.06601630675021934
cori_knl,100,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.0007084600870318026,4.449956144119615e-10,0.6867602835622949,1.4805061507133708e-09,0.6874687300755293,2.3845544955484476e-10
cori_knl,100,min_steal_agreement,F30,2,MSA F30 (30% off),3,0.013550237885500119,0.0037302105528738646,0.8528385414946605,0.013439282168983649,0.8663887685759921,0.015347840783918645
cori_knl,100,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.0011060833428562305,6.14996468452582e-05,0.7161850821289015,0.002190402577064858,0.7172911538381629,0.002232893156901242
theta,0,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,8.033774288602851,0.17785190050003258,2.531550943125216,1.067743748451288e-09,10.565327460793016,0.17785252075223626
theta,0,min_steal_agreement,F30,2,MSA F30 (30% off),3,6.855106628921916,1.236415756522484,2.5175596696154754,2.7026277281989414e-09,9.372668760497758,1.236416409568843
theta,0,min_steal_agreement,F10,3,MSA F10 (10% off),3,8.336704825664546,1.1524414130733496,2.531550941892292,1.8493859776924815e-09,10.868255396693298,1.1524416184134088
theta,25,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,5.436488057076162,0.3865236291152802,3.6961983469414528,0.1957804329004776,9.13268774489022,0.23301796634584235
theta,25,min_steal_agreement,F30,2,MSA F30 (30% off),3,1.4060853755365685,0.6322345441699928,3.1847986456693964,0.2951384616610719,4.590883775846209,0.9122658693842689
theta,25,min_steal_agreement,F10,3,MSA F10 (10% off),3,3.383641219937148,0.6627744039579624,3.417819352195062,0.19043223948182428,6.801461066265952,0.6010337641158822
theta,50,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,3.959498598383197,0.3958698028982018,5.202537366806542,0.2698419962838999,9.162036189440958,0.42302337139025314
theta,50,min_steal_agreement,F30,2,MSA F30 (30% off),3,1.7840892929591798,0.424693820652607,4.297820093288118,0.5332664273369692,6.081909332827546,0.9574229301063287
theta,50,min_steal_agreement,F10,3,MSA F10 (10% off),3,2.8883942820077815,0.3517283328369884,4.891300939196059,0.24945387939717803,7.779695261817113,0.5961693544717603
theta,75,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,1.7965424427473804,0.7202387926973267,6.613113788607609,0.07858796383587276,8.409656048330813,0.7501177699734441
theta,75,min_steal_agreement,F30,2,MSA F30 (30% off),3,1.3802735415424365,0.44520569229727697,5.948415056825999,0.5004616507767492,7.328688691827657,0.9428255451095693
theta,75,min_steal_agreement,F10,3,MSA F10 (10% off),3,1.5100064702166844,0.724515957743481,6.415612911214429,0.18248492558375012,7.9256193701799456,0.7475701850123861
theta,100,min_steal_agreement,F0,1,MSA F0 (no shutdown),3,0.0482411230388109,0.0,5.65659929672447,0.0,5.704840398889806,0.0
theta,100,min_steal_agreement,F30,2,MSA F30 (30% off),3,2.7156702845228717,0.2977517974045222,7.480848529065489,0.08810297683366924,10.1965188775325,0.24034168743364293
theta,100,min_steal_agreement,F10,3,MSA F10 (10% off),3,0.4781255212165808,0.07675628870693861,7.1618078798749085,0.1001677435469795,7.639933372945793,0.16365608128868717
