cluster,mal,seed,scheduler,policy,baseline_cluster,baseline_mal,baseline_seed,baseline_scheduler,baseline_policy,cost_savings_delta_pct,co2_savings_delta_pct,energy_savings_delta_pct,turnaround_delta_pct,turnaround_delta_s,run_cost_per_day_usd,baseline_cost_per_day_usd,run_turnaround_mean_s,baseline_turnaround_mean_s
cori_haswell,25,S0,min_steal_agreement,F10,cori_haswell,0,S0,rigid_easy_backfill,F0,-1.453991234814453,-1.4990741507184713,-1.3193023508037274,-24.61778738709465,-794.1249472624299,2987.5349994557773,2944.719042685222,2431.6927705343082,3225.817717796738
cori_haswell,25,S0,min_steal_agreement,F0,cori_haswell,0,S0,rigid_easy_backfill,F0,-4.785752206270395,-4.976525325051052,-4.215801972306324,-22.884006886694166,-738.1963486928062,3085.6459992389946,2944.719042685222,2487.621369103932,3225.817717796738
cori_haswell,25,S0,rigid_easy_backfill,F30,cori_haswell,0,S0,rigid_easy_backfill,F0,5.879766910844579,6.166156903278881,5.024153477275809,37.736569223108404,1217.312936087662,2771.576426796077,2944.719042685222,4443.1306538844,3225.817717796738
cori_haswell,25,S0,rigid_easy_backfill,F10,cori_haswell,0,S0,rigid_easy_backfill,F0,1.9669979356305718,2.062805904287384,1.6807638241351848,3.6142216102147247,116.58820106274516,2886.7964799054835,2944.719042685222,3342.4059188594833,3225.817717796738
cori_haswell,25,S0,rigid_easy_backfill,F0,cori_haswell,0,S0,rigid_easy_backfill,F0,0.013774252982590832,0.014445165327835286,0.011769847694038745,-0.6458321798248531,-20.833368884023002,2944.313429634656,2944.719042685222,3204.984348912715,3225.817717796738
cori_haswell,25,S3,min_steal_agreement,F30,cori_haswell,0,S3,rigid_easy_backfill,F0,5.176106225196864,5.428222505158863,4.422888293960456,-22.691902370229432,-731.999407163999,2792.2973684857398,2944.7191602542234,2493.818310632739,3225.817717796738
cori_haswell,25,S3,min_steal_agreement,F10,cori_haswell,0,S3,rigid_easy_backfill,F0,-1.520000326556406,-1.5940360613732318,-1.2988125356446039,-22.614848729504423,-729.5137971692843,2989.4789011062567,2944.7191602542234,2496.303920627454,3225.817717796738
cori_haswell,25,S3,min_steal_agreement,F0,cori_haswell,0,S3,rigid_easy_backfill,F0,-4.762622518601681,-4.99459895417173,-4.069574013667836,-22.60128524901117,-729.076264012383,3084.9650180900694,2944.7191602542234,2496.741453784355,3225.817717796738
cori_haswell,25,S3,rigid_easy_backfill,F30,cori_haswell,0,S3,rigid_easy_backfill,F0,5.846296612213883,6.131056331064066,4.99555374719457,39.42517118490233,1271.7841573542737,2772.5621437490677,2944.7191602542234,4497.601875151012,3225.817717796738
cori_haswell,25,S3,rigid_easy_backfill,F10,cori_haswell,0,S3,rigid_easy_backfill,F0,1.912847032195599,2.0060174303504756,1.6344928752898256,2.923893567321808,94.31947674418598,2888.3911871908053,2944.7191602542234,3320.137194540924,3225.817717796738
cori_haswell,25,S3,rigid_easy_backfill,F0,cori_haswell,0,S3,rigid_easy_backfill,F0,-0.02514899016613196,-0.02637393988114508,-0.02148935307177858,-0.05594571322198039,-1.8047067294623957,2945.459727386256,2944.7191602542234,3224.013011067276,3225.817717796738
cori_haswell,25,S7,min_steal_agreement,F30,cori_haswell,0,S7,rigid_easy_backfill,F0,5.005518494005165,5.24932584646738,4.27712416641191,-22.580479268570144,-728.4051095337509,2797.3205864071215,2944.719042685222,2497.412646015932,3225.8177555496827
cori_haswell,25,S7,min_steal_agreement,F10,cori_haswell,0,S7,rigid_easy_backfill,F0,-1.1613106146419532,-1.2178753974274208,-0.9923187179356567,-23.39864584462838,-754.7976722142103,2978.9163774993085,2944.719042685222,2471.0200833354725,3225.8177555496827
cori_haswell,25,S7,min_steal_agreement,F0,cori_haswell,0,S7,rigid_easy_backfill,F0,-5.052689578553411,-5.298794526609404,-4.317430996942148,-21.994663776200433,-709.5077693661278,3093.506554872656,2944.719042685222,2516.309986183555,3225.8177555496827
cori_haswell,25,S7,rigid_easy_backfill,F30,cori_haswell,0,S7,rigid_easy_backfill,F0,5.8594861532401135,6.144888316376962,5.006823940173629,34.34117121169585,1107.783598410601,2772.1736381272567,2944.719042685222,4333.601353960284,3225.8177555496827
cori_haswell,25,S7,rigid_easy_backfill,F10,cori_haswell,0,S7,rigid_easy_backfill,F0,1.9070801208561547,1.999969629856294,1.6295651453414934,3.0446897111012667,98.216141302099,2888.5608912071066,2944.719042685222,3324.0338968517817,3225.8177555496827
cori_haswell,25,S7,rigid_easy_backfill,F0,cori_haswell,0,S7,rigid_easy_backfill,F0,-0.02055358097227262,-0.02155469887174664,-0.017562659690125364,0.2405109392526948,7.758444582452739,2945.3242878980664,2944.719042685222,3233.5762001321355,3225.8177555496827
cori_haswell,50,S0,min_steal_agreement,F30,cori_haswell,0,S0,rigid_easy_backfill,F0,2.1383496236478163,2.2782327034167564,1.7204375270670542,-38.355018600826774,-1237.2629856897047,2881.750654118477,2944.719042685222,1988.5547321070335,3225.817717796738
cori_haswell,50,S0,min_steal_agreement,F10,cori_haswell,0,S0,rigid_easy_backfill,F0,-5.457184241936508,-5.6841884508504625,-4.778990674582012,-39.96061168453927,-1289.0564918598213,3105.4177862519437,2944.719042685222,1936.7612259369168,3225.817717796738
cori_haswell,50,S0,min_steal_agreement,F0,cori_haswell,0,S0,rigid_easy_backfill,F0,-9.144015934566486,-9.59493296871803,-7.79686456043775,-41.40956965835256,-1335.797234902519,3213.9846211765725,2944.719042685222,1890.0204828942192,3225.817717796738
cori_haswell,50,S0,rigid_easy_backfill,F30,cori_haswell,0,S0,rigid_easy_backfill,F0,5.8917746271014675,6.178749487919203,5.034413851590892,37.069207053460055,1195.7850489772727,2771.222833288869,2944.719042685222,4421.602766774011,3225.817717796738
cori_haswell,50,S0,rigid_easy_backfill,F10,cori_haswell,0,S0,rigid_easy_backfill,F0,1.9843452075529278,2.0809981221318874,1.695586751280695,3.659624501804431,118.05281558403794,2886.2856514857995,2944.719042685222,3343.870533380776,3225.817717796738
cori_haswell,50,S0,rigid_easy_backfill,F0,cori_haswell,0,S0,rigid_easy_backfill,F0,0.02170742419323496,0.022764743155843682,0.018548597656166566,0.5123632906546134,16.52790580942292,2944.0798200313275,2944.719042685222,3242.345623606161,3225.817717796738
cori_haswell,50,S3,min_steal_agreement,F30,cori_haswell,0,S3,rigid_easy_backfill,F0,1.984219726227665,2.078445901795479,1.7027113482680885,-36.067669717468874,-1163.4772801425197,2886.2894617944535,2944.7191602542234,2062.3404376542185,3225.817717796738
cori_haswell,50,S3,min_steal_agreement,F10,cori_haswell,0,S3,rigid_easy_backfill,F0,-4.947251363290462,-5.197891197440539,-4.198444434225049,-37.571401951463585,-1211.9849409749418,3090.401819054976,2944.7191602542234,2013.8327768217964,3225.817717796738
cori_haswell,50,S3,min_steal_agreement,F0,cori_haswell,0,S3,rigid_easy_backfill,F0,-8.382706226329285,-8.810455380395203,-7.104770771450031,-37.49355672131768,-1209.4737957484356,3191.5663166487657,2944.7191602542234,2016.3439220483026,3225.817717796738
cori_haswell,50,S3,rigid_easy_backfill,F30,cori_haswell,0,S3,rigid_easy_backfill,F0,5.921234169044254,6.209643924666388,5.059586521728191,41.16256221428622,1327.8292250075501,2770.3554431548573,2944.7191602542234,4553.646942804288,3225.817717796738
cori_haswell,50,S3,rigid_easy_backfill,F10,cori_haswell,0,S3,rigid_easy_backfill,F0,1.972356374004381,2.068425335911054,1.6853425216879385,2.9926359784224577,96.53698162111141,2886.638804200421,2944.7191602542234,3322.3546994178496,3225.817717796738
cori_haswell,50,S3,rigid_easy_backfill,F0,cori_haswell,0,S3,rigid_easy_backfill,F0,0.03064724586677891,0.03214000302491524,0.02618751221252891,-0.02433071972554031,-0.7848646677739453,2943.816684933094,2944.7191602542234,3225.0328531289642,3225.817717796738
cori_haswell,50,S7,min_steal_agreement,F30,cori_haswell,0,S7,rigid_easy_backfill,F0,2.298494531047099,2.5335959996706445,1.59610974065801,-35.95317630036801,-1159.7839447813517,2877.0348365344,2944.719042685222,2066.033810768331,3225.8177555496827
cori_haswell,50,S7,min_steal_agreement,F10,cori_haswell,0,S7,rigid_easy_backfill,F0,-5.847068148118993,-6.137978048849788,-4.977951120295277,-40.80910985795509,-1316.4275116796914,3116.8987718816643,2944.719042685222,1909.3902438699913,3225.8177555496827
cori_haswell,50,S7,min_steal_agreement,F0,cori_haswell,0,S7,rigid_easy_backfill,F0,-9.636567169308389,-10.11377882570111,-8.210858469105782,-40.61558082769034,-1310.1846178592677,3228.4888711809986,2944.719042685222,1915.633137690415,3225.8177555496827
cori_haswell,50,S7,rigid_easy_backfill,F30,cori_haswell,0,S7,rigid_easy_backfill,F0,5.887641579006283,6.1744151285083335,5.030882237452218,35.36090518336631,1140.6783579281187,2771.344539943171,2944.719042685222,4366.496113477801,3225.8177555496827
cori_haswell,50,S7,rigid_easy_backfill,F10,cori_haswell,0,S7,rigid_easy_backfill,F0,1.9638828003437974,2.059539037888701,1.6781019979058496,3.8373267327408187,123.78516708320785,2886.8882118874785,2944.719042685222,3349.6029226328906,3225.8177555496827
cori_haswell,50,S7,rigid_easy_backfill,F0,cori_haswell,0,S7,rigid_easy_backfill,F0,-0.014906270333897643,-0.01563232065407584,-0.01273713585389483,-0.5775861415748827,-18.631876308516894,2945.1579904662985,2944.719042685222,3207.185879241166,3225.8177555496827
cori_haswell,75,S0,min_steal_agreement,F30,cori_haswell,0,S0,rigid_easy_backfill,F0,1.6134491049125443,1.8151835783162904,1.010750931030629,-46.81470015448716,-1510.156892116864,2897.207499648828,2944.719042685222,1715.6608256798743,3225.817717796738
cori_haswell,75,S0,min_steal_agreement,F10,cori_haswell,0,S0,rigid_easy_backfill,F0,-5.796900091966633,-6.0017471872971635,-5.18490270650552,-50.51131764359764,-1629.4030340397626,3115.4214635788007,2944.719042685222,1596.4146837569756,3225.817717796738
cori_haswell,75,S0,min_steal_agreement,F0,cori_haswell,0,S0,rigid_easy_backfill,F0,-9.683538519915842,-10.145956694589504,-8.302026551522246,-52.195985171500936,-1683.7473376408354,3229.8720454869426,2944.719042685222,1542.0703801559027,3225.817717796738
cori_haswell,75,S0,rigid_easy_backfill,F30,cori_haswell,0,S0,rigid_easy_backfill,F0,5.906579296650877,6.194275259047036,5.047064171429425,37.07342182494384,1195.9210098225612,2770.786877365441,2944.719042685222,4421.738727619299,3225.817717796738
cori_haswell,75,S0,rigid_easy_backfill,F10,cori_haswell,0,S0,rigid_easy_backfill,F0,2.0288542246574512,2.127675071616265,1.73361889378665,3.623751566841718,116.89562009211704,2884.9749859834105,2944.719042685222,3342.713337888855,3225.817717796738
cori_haswell,75,S0,rigid_easy_backfill,F0,cori_haswell,0,S0,rigid_easy_backfill,F0,0.01947346660279583,0.020421974602820667,0.016639721681404554,-0.6455645937754834,-20.82473704583208,2944.1456038058986,2944.719042685222,3204.992980750906,3225.817717796738
cori_haswell,75,S3,min_steal_agreement,F30,cori_haswell,0,S3,rigid_easy_backfill,F0,1.7926298533912335,1.9898339730349313,1.2034664758717848,-45.846365234822485,-1478.920172710708,2891.9312454889746,2944.7191602542234,1746.8975450860303,3225.817717796738
cori_haswell,75,S3,min_steal_agreement,F10,cori_haswell,0,S3,rigid_easy_backfill,F0,-5.834255604977277,-6.082699872969837,-5.092008108727261,-49.67372467503633,-1602.3838116568922,3116.5216029121952,2944.7191602542234,1623.433906139846,3225.817717796738
cori_haswell,75,S3,min_steal_agreement,F0,cori_haswell,0,S3,rigid_easy_backfill,F0,-9.428981648215144,-9.889942970222403,-8.051822135166956,-51.38359247655179,-1657.5410301490792,3222.3761894660693,2944.7191602542234,1568.276687647659,3225.817717796738
cori_haswell,75,S3,rigid_easy_backfill,F30,cori_haswell,0,S3,rigid_easy_backfill,F0,5.901214097057023,6.188648720822432,5.042479735626001,42.279263689413874,1363.8519790471155,2770.944978050562,2944.7191602542234,4589.669696843854,3225.817717796738
cori_haswell,75,S3,rigid_easy_backfill,F10,cori_haswell,0,S3,rigid_easy_backfill,F0,1.9595953222167724,2.0550427225161134,1.6744384358524336,3.393477424025832,109.46739599365765,2887.0145813374606,2944.7191602542234,3335.285113790396,3225.817717796738
cori_haswell,75,S3,rigid_easy_backfill,F0,cori_haswell,0,S3,rigid_easy_backfill,F0,0.04586626433217822,0.04810030502535373,0.03919188571012854,-0.023772469642249664,-0.7668565376775405,2943.368527580341,2944.7191602542234,3225.0508612590606,3225.817717796738
