cluster,mal,seed,scheduler,policy,run,window_start_s,window_end_s,full_shutdown_windows_count,on_windows_count,target_active_fraction,target_off_fraction,target_off_nodes,mean_on_util_percent,mean_off_util_percent,node_off_fraction_percent,node_overrun_node_hours_total,node_overrun_node_hours_per_window,node_overrun_normalized_hours_per_window
cori_haswell,75,S0,min_steal_agreement,F30,cori_haswell_mal75_S0/min_steal_agreement/F30,22154.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,99.79777359017369,70.00946573143445,29.849965975711896,114.51666666667522,28.629166666668805,0.03996254420249693
cori_haswell,75,S0,min_steal_agreement,F10,cori_haswell_mal75_S0/min_steal_agreement/F10,31139.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,99.8766546854645,89.9743073003933,9.8843610413177,87.71666666666016,21.92916666666504,0.09183068118368946
cori_haswell,75,S0,rigid_easy_backfill,F30,cori_haswell_mal75_S0/rigid_easy_backfill/F30,45512.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.51991438674949,66.94527324120688,29.802048436627583,149.2500000000014,37.31250000000035,0.052083333333333814
cori_haswell,75,S0,rigid_easy_backfill,F10,cori_haswell_mal75_S0/rigid_easy_backfill/F10,45512.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,90.08587497673614,74.94992322724761,9.90076249302066,75.74999999999324,18.93749999999831,0.0793027638190884
cori_haswell,75,S3,min_steal_agreement,F30,cori_haswell_mal75_S3/min_steal_agreement/F30,24806.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,99.76321131118691,69.99319514237848,29.85709798994975,109.20000000000645,27.300000000001614,0.03810720268006925
cori_haswell,75,S3,min_steal_agreement,F10,cori_haswell_mal75_S3/min_steal_agreement/F10,39019.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,99.83105632328379,89.91661868369906,9.924361390284757,57.73333333332457,14.433333333331143,0.06044109436068319
cori_haswell,75,S3,rigid_easy_backfill,F30,cori_haswell_mal75_S3/rigid_easy_backfill/F30,45512.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.30394739903322,67.1637484296492,29.77919109436069,168.35000000000392,42.08750000000098,0.05874860413177132
cori_haswell,75,S3,rigid_easy_backfill,F10,cori_haswell_mal75_S3/rigid_easy_backfill/F10,45512.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,90.17019414200674,74.96678269821363,9.85376099246231,106.29999999999536,26.57499999999884,0.11128559463986117
cori_haswell,75,S7,min_steal_agreement,F30,cori_haswell_mal75_S7/min_steal_agreement/F30,24828.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,99.77382572585165,69.98181009212682,29.901656721105528,58.60000000000167,14.650000000000418,0.020449469570073167
cori_haswell,75,S7,min_steal_agreement,F10,cori_haswell_mal75_S7/min_steal_agreement/F10,37375.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,99.83749767355312,89.95345651870748,9.911754955332217,64.94999999999081,16.237499999997702,0.06799623115576929
