cluster,mal,seed,scheduler,policy,run,window_start_s,window_end_s,window_days,wait_threshold_s,jobs_seen,jobs_completed_window_submit,wait_mean_s,wait_p95_s,turnaround_mean_s,turnaround_p95_s,runtime_mean_s,runtime_p95_s,throughput_jobs_per_hour_submit_window,num_nodes,window_node_hours,grid_cost_usd_per_kwh,solar_cost_usd_per_kwh,grid_co2e_kg_per_kwh,solar_co2e_kg_per_kwh,energy_total_kwh,energy_on_kwh,energy_boot_kwh,energy_shutdown_kwh,energy_off_kwh,grid_energy_kwh,solar_used_kwh,solar_curtailed_kwh,renewable_share_percent,cost_total_usd,co2_total_kg,cost_per_day_usd,co2_per_day_kg,energy_per_day_kwh,energy_per_node_hour_kwh,cost_per_node_hour_usd,co2_per_node_hour_kg,power_avg_kw,power_peak_kw,off_fraction_mean,boot_fraction_mean,shutdown_fraction_mean
theta,0,S0,min_steal_agreement,F30,theta_mal0_S0/min_steal_agreement/F30,10758.0,1205050.0,13.822824074074074,20.0,1607,1570,23085.57261146497,56463.0,32148.789991719746,89238.5,9063.2148,27190.8,4.732510977214952,4392,1457036.24,0.15,0.06,0.501,0.04,376933.06334445224,376272.20573333034,128.0655500000001,25.128083333333336,507.6639777778138,287289.96423333546,89643.09911112633,0.0,23.782232929035438,48472.08058166789,147517.9960453461,3506.669861521392,10672.059143256343,27268.889578897517,0.2586984818884479,0.033267587484075135,0.10124524839913804,1136.2037324540631,1264.896,0.06968446821580468,0.0004910310261054317,0.00012588339372167343
theta,0,S0,min_steal_agreement,F10,theta_mal0_S0/min_steal_agreement/F10,66074.0,1205050.0,13.182592592592593,20.0,1607,1502,29124.046604527295,110410.0,38237.62456924101,143140.0,9113.58338415446,27182.0,4.747422245947237,4392,1389550.72,0.15,0.06,0.501,0.04,383271.9993071892,383004.96862663963,47.14859999999998,7.539566666666667,212.34251388891323,298571.6604183601,84700.33888889986,0.0,22.099276503894373,49867.769396088,152972.41542515438,3782.8499246884944,11604.122205150361,29074.098787104507,0.27582440409745473,0.03588769281922145,0.11008768030083449,1211.4207827960213,1264.896,0.030562758283323246,0.0001895576722812968,3.9605127428046194e-05
theta,0,S0,min_steal_agreement,F0,theta_mal0_S0/min_steal_agreement/F0,66074.0,1205050.0,13.182592592592593,20.0,1607,1502,28182.270972037284,89287.0,37295.85981358189,117681.0,9113.58339081225,27182.0,4.747422245947237,4392,1389550.72,0.15,0.06,0.501,0.04,395444.0692266844,395444.0692266844,0.0,0.0,0.0,310743.7303377783,84700.33888889986,0.0,21.419043925614226,51693.57988400073,159070.6224547829,3921.351549091168,12066.717630655292,29997.44294979484,0.2845841202735546,0.03720165024562812,0.11447629810503275,1249.893456241452,1264.896,0.0,0.0,0.0
theta,0,S0,rigid_easy_backfill,F30,theta_mal0_S0/rigid_easy_backfill/F30,10758.0,1205050.0,13.822824074074074,20.0,1607,1570,24587.809554140127,54622.0,33651.036532484075,94148.5,9063.2148,27190.8,4.732510977214952,4392,1457036.24,0.15,0.06,0.501,0.04,376431.69085001823,375781.364933351,120.81605000000006,26.189833333333333,503.3200333333581,286788.591738897,89643.09911112633,0.0,23.813908682529828,48396.87470750214,147266.80842563248,3501.229158973002,10653.887196744721,27232.618228575237,0.25835437754795876,0.03321597183300131,0.10107285212455147,1134.6924261906347,1264.896,0.06908819691860696,0.00046323487465212257,0.00013120241035780047
theta,0,S0,rigid_easy_backfill,F10,theta_mal0_S0/rigid_easy_backfill/F10,66074.0,1205050.0,13.182592592592593,20.0,1607,1502,37883.15046604527,164038.0,46996.73696338216,217545.0,9113.58339081225,27182.0,4.747422245947237,4392,1389550.72,0.15,0.06,0.501,0.04,384150.681018361,383912.4768933598,47.14859999999998,4.057483333333334,186.99804166668602,299450.34212942014,84700.33888889986,0.0,22.048728031501653,49999.57165274701,153412.63496239547,3792.8481291944177,11637.516208200144,29140.75348381914,0.27645675360332367,0.03598254524508973,0.11040448740323454,1214.1980618257976,1264.896,0.02691489255846187,0.0001895576722812968,2.1313843561368287e-05
theta,0,S0,rigid_easy_backfill,F0,theta_mal0_S0/rigid_easy_backfill/F0,66074.0,1205050.0,13.182592592592593,20.0,1607,1502,27557.671770972036,84714.0,36671.25191211718,117711.0,9113.58338415446,27182.0,4.747422245947237,4392,1389550.72,0.15,0.06,0.501,0.04,395412.9585600249,395412.9585600249,0.0,0.0,0.0,310712.61967109743,84700.33888889986,0.0,21.420729152972886,51688.913283998605,159055.0360107758,3920.9975519567392,12065.535280226299,29995.082968900268,0.2845617312623356,0.03719829189394296,0.11446508121040433,1249.795123704178,1264.896,0.0,0.0,0.0
theta,0,S3,min_steal_agreement,F30,theta_mal0_S3/min_steal_agreement/F30,10758.0,1205050.0,13.822824074074074,20.0,1607,1570,29706.748407643314,97426.0,38769.97592420382,134731.0,9063.214812738854,27190.8,4.732510977214952,4392,1457036.24,0.15,0.06,0.501,0.04,379337.58554723643,378706.15553333913,121.5052000000001,20.62535,489.2994638889316,289694.4864361346,89643.09911112633,0.0,23.631483545667177,48832.75891208777,148722.6616689485,3532.762816802242,10759.209613894383,27442.842614102105,0.2603487649334216,0.03351512994082272,0.10207204020467502,1143.4517755875875,1264.896,0.06716366421865923,0.00046587722485200503,0.00010332618768631314
theta,0,S3,min_steal_agreement,F10,theta_mal0_S3/min_steal_agreement/F10,66074.0,1205050.0,13.182592592592593,20.0,1607,1502,26379.306258322238,88839.0,35492.89027563249,117998.0,9113.58339081225,27182.0,4.747422245947237,4392,1389550.72,0.15,0.06,0.501,0.04,383061.5443238984,382801.83249334025,48.45828333333331,5.265366666666666,205.9881805555823,298361.205435012,84700.33888889986,0.0,22.111417902414484,49836.20114858579,152866.977478497,3780.4552328036866,11596.123934255102,29058.134174543466,0.2756729486807782,0.03586497450671379,0.11001180113705888,1210.7555906059779,1264.896,0.029648170101420342,0.0001948231631779995,2.765882006331754e-05
theta,0,S3,min_steal_agreement,F0,theta_mal0_S3/min_steal_agreement/F0,66074.0,1205050.0,13.182592592592593,20.0,1607,1502,29291.24567243675,104540.0,38404.83838149135,131450.0,9113.58339747004,27182.0,4.747422245947237,4392,1389550.72,0.15,0.06,0.501,0.04,395335.82056000025,395335.82056000025,0.0,0.0,0.0,310635.48167112184,84700.33888889986,0.0,21.424908769693655,51677.34258400226,159016.38987278802,3920.1198262806197,12062.60367646806,29989.231464389082,0.2845062183552395,0.03718996495788384,0.11443726924396687,1249.551311016212,1264.896,0.0,0.0,0.0
theta,0,S3,rigid_easy_backfill,F30,theta_mal0_S3/rigid_easy_backfill/F30,10758.0,1205050.0,13.822824074074074,20.0,1607,1570,23897.65923566879,54592.0,32960.881221656055,86566.2,9063.214812738854,27190.8,4.732510977214952,4392,1457036.24,0.15,0.06,0.501,0.04,375419.42128889216,374737.2482666568,130.24935000000008,24.739916666666666,527.1837555555712,285776.3221777725,89643.09911112633,0.0,23.87811978489635,48245.034273333455,146759.6613755091,3490.244396861078,10617.198091290897,27159.3864811623,0.25765963191752334,0.03311175998843615,0.10072478456370386,1131.6411033817624,1264.896,0.07236384944763702,0.0004994041877777865,0.0001239388069944872
